actual/predicted,CH,CU,FC,FF,SI,SL
CH,187,2,86,0,74,1
CU,34,1,6,0,10,0
FC,0,0,0,0,5,0
FF,286,18,243,0,351,0
SI,14,2,25,0,184,1
SL,244,6,86,0,272,3
