actual/predicted,CH,CU,FC,FF,FS,SI,SL,ST
CH,6,6,14,1,2,71,2,0
CU,4,7,41,8,1,275,4,6
FC,2,16,43,20,0,269,0,5
FF,2,11,30,2,1,179,1,2
FS,0,0,5,1,0,32,0,0
SI,10,19,77,23,3,766,3,17
SL,1,2,8,3,0,53,0,0
ST,0,2,6,0,0,103,0,4
