actual/predicted,CH,CU,FC,FF,SI,SL
CH,389,0,32,242,10,35
CU,1,0,2,3,0,0
FC,110,0,96,135,56,26
FF,245,0,96,364,39,36
SI,2,0,26,7,31,17
SL,2,0,26,7,23,14
