actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,7,50,110,15,0,0,39
CU,7,64,132,17,1,0,42
FC,6,22,55,15,9,0,182
FF,10,92,261,64,15,0,311
SI,0,12,18,14,4,0,97
SL,0,0,0,0,0,0,0
ST,0,3,32,12,13,0,248
