actual/predicted,CH,CU,FC,FF,SI,SL
CH,230,14,0,13,58,35
CU,26,14,0,0,10,1
FC,0,0,0,0,5,0
FF,338,104,0,111,279,66
SI,21,9,0,8,187,1
SL,241,49,0,23,246,52
