actual/predicted,CH,CU,FC,FF,SI,SL
CH,27,84,0,0,295,9
CU,38,160,0,0,558,13
FC,0,0,0,0,0,0
FF,1,1,0,0,1,0
SI,32,126,0,0,848,5
SL,1,8,0,0,53,0
