actual/predicted,CH,FC,FF,SI,SL,ST
CH,61,0,12,1,5,1
FC,0,39,7,0,0,7
FF,5,20,71,7,9,25
SI,243,123,119,223,153,132
SL,171,69,125,158,158,120
ST,2,23,20,3,1,48
