actual/predicted,CH,CU,FC,FF,SI,SL
CH,76,51,31,12,26,9
CU,19,52,16,14,13,11
FC,3,7,3,4,5,1
FF,211,250,161,217,135,101
SI,16,1,6,1,39,1
SL,115,127,67,59,126,101
