actual/predicted,CH,CU,FC,FF,SI,SL
CH,129,76,11,34,80,12
CU,170,232,36,54,110,72
FC,0,1,19,0,0,0
FF,1,3,0,9,3,5
SI,217,153,72,130,388,122
SL,18,19,13,6,17,80
