actual/predicted,CH,FC,FF,FS,KC,SI,SL
CH,0,0,1,22,5,1,12
FC,0,0,0,0,0,0,0
FF,0,0,34,263,18,135,131
FS,0,0,0,18,6,5,23
KC,0,0,8,128,20,14,62
SI,0,0,37,181,25,192,102
SL,0,0,26,262,17,136,130
