actual/predicted,CU,FC,FF,FS,KC,SI,SL,ST
CU,100,43,350,0,0,0,0,62
FC,8,24,107,0,0,0,0,68
FF,115,103,681,0,0,0,0,237
FS,3,0,2,0,0,0,0,0
KC,0,0,0,0,0,0,0,0
SI,1,10,20,0,0,1,0,22
SL,1,1,9,0,0,0,0,3
ST,20,33,182,0,0,1,0,216
