actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,26,19,127,16,11,2,47
CU,24,27,227,11,22,4,69
FC,22,35,412,30,26,2,50
FF,23,14,127,12,13,2,50
SI,8,7,203,9,46,0,68
SL,5,0,19,0,3,0,4
ST,9,14,153,5,10,1,41
