actual/predicted,CH,CU,FC,FF,SI,SL
CH,228,42,110,66,72,36
CU,56,25,40,35,11,7
FC,120,21,128,76,40,37
FF,119,30,96,86,55,31
SI,60,11,74,44,40,26
SL,23,8,29,16,26,23
