actual/predicted,CH,CU,FC,FF,FS,SI,SL,ST
CH,1,8,9,0,75,6,1,2
CU,2,31,39,4,183,60,5,22
FC,0,22,41,2,212,30,2,46
FF,2,15,13,1,171,19,0,7
FS,1,5,0,1,27,3,0,1
SI,2,52,45,6,397,342,21,53
SL,0,5,0,0,32,26,1,3
ST,2,6,3,1,40,34,3,26
