actual/predicted,CH,CU,FC,FF,SI,SL
CH,39,24,0,182,0,45
CU,22,38,0,255,0,101
FC,0,0,0,0,0,0
FF,43,57,0,535,0,199
SI,0,0,0,15,0,16
SL,21,91,0,455,0,321
