actual/predicted,CH,CU,FC,FF,SI,SL
CH,309,54,1,0,46,5
CU,420,162,67,0,68,52
FC,0,0,0,0,0,0
FF,3,0,0,0,0,0
SI,550,56,68,0,271,66
SL,25,5,15,0,3,14
