actual/predicted,CH,FC,FF,KC,SI,SL
CH,66,0,7,110,40,176
FC,1,0,0,1,0,0
FF,92,0,60,255,62,573
KC,50,0,28,193,21,279
SI,0,0,5,3,4,67
SL,18,0,10,52,9,186
