actual/predicted,CH,FC,FF,KC,SI,SL
CH,31,0,281,65,0,22
FC,0,0,1,1,0,0
FF,22,0,839,151,0,30
KC,19,0,391,133,0,28
SI,0,0,67,7,0,5
SL,6,0,209,45,0,15
