actual/predicted,CH,CU,FC,FF,SI,ST
CH,3,40,0,48,8,341
CU,0,25,0,7,5,152
FC,0,0,0,0,0,0
FF,4,57,0,77,32,688
SI,0,0,0,0,27,124
ST,0,22,0,8,24,360
