actual/predicted,CH,CU,FC,SI,SL,ST
CH,128,48,19,0,5,0
CU,161,122,34,28,50,4
FC,341,267,226,83,82,16
SI,0,29,23,52,82,5
SL,8,30,9,39,68,8
ST,0,13,9,1,22,6
