actual/predicted,CU,FC,FF,FS,KC,SI,SL,ST
CU,378,4,84,0,0,14,0,75
FC,34,9,28,0,0,40,0,96
FF,456,24,210,0,0,116,0,330
FS,3,0,2,0,0,0,0,0
KC,0,0,0,0,0,0,0,0
SI,2,4,5,0,0,24,0,19
SL,2,0,1,0,0,1,0,10
ST,41,7,28,0,0,96,0,280
