actual/predicted,CH,FC,FF,FS,KC,SI,SL
CH,0,0,0,41,0,0,0
FC,0,0,0,0,0,0,0
FF,0,0,0,453,1,96,31
FS,0,0,0,49,0,3,0
KC,0,0,0,227,0,4,1
SI,0,0,0,271,2,144,120
SL,0,0,0,422,0,79,70
