actual/predicted,CH,CS,CU,FF,SI,SL,ST
CH,110,0,1,46,19,57,4
CS,3,0,1,0,0,2,0
CU,95,0,17,81,35,134,16
FF,111,0,16,204,90,149,14
SI,52,0,8,82,83,124,6
SL,85,1,12,89,51,221,2
ST,6,0,5,4,13,24,6
