actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,96,11,44,12,2,0,2
CU,138,24,123,16,24,0,43
FC,18,10,162,3,30,0,27
FF,154,33,151,44,34,0,36
SI,23,17,129,10,61,0,68
SL,0,1,22,0,10,0,5
ST,21,23,49,6,53,0,198
