actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,49,27,25,62,2,0,2
CU,58,33,84,126,23,1,43
FC,10,9,157,24,34,0,16
FF,59,39,122,185,21,0,26
SI,8,10,117,26,71,0,76
SL,1,0,24,0,8,0,5
ST,14,14,33,10,31,1,247
