actual/predicted,CH,CU,FC,SI,SL,ST
CH,179,8,8,0,5,0
CU,264,10,7,14,65,39
FC,532,61,91,86,109,136
SI,1,0,7,24,74,85
SL,12,0,3,15,50,82
ST,0,0,1,3,47,0
