actual/predicted,CH,CU,FC,FF,SI,SL
CH,22,7,1,181,0,79
CU,18,25,2,284,0,87
FC,0,0,0,0,0,0
FF,39,25,6,586,0,178
SI,1,0,0,24,0,6
SL,27,26,12,578,0,245
