actual/predicted,CH,FC,FF,FS,KC,SI,SL
CH,0,0,2,19,12,1,7
FC,0,0,0,0,0,0,0
FF,23,0,99,209,21,133,96
FS,1,0,3,37,4,4,3
KC,11,0,13,151,8,9,40
SI,25,0,84,97,21,254,56
SL,29,1,41,192,23,154,131
