actual/predicted,CH,FC,FF,SI,SL,ST
CH,0,0,0,0,0,0
FC,0,0,1,137,37,1
FF,0,0,8,121,97,2
SI,3,5,8,576,265,2
SL,0,1,5,380,225,2
ST,1,3,1,186,81,3
