actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,7,71,6,74,3,0,6
CU,15,93,16,144,69,0,31
FC,0,25,47,76,95,0,7
FF,20,96,19,232,53,1,31
SI,0,26,49,46,122,2,63
SL,0,2,1,9,18,1,7
ST,6,25,6,25,67,0,221
