actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,97,9,0,5,0,17,1
CU,72,33,0,7,3,32,2
FC,2,1,0,0,0,0,0
FF,291,50,0,67,23,294,47
SI,62,12,0,10,39,241,65
SL,65,5,0,11,10,159,48
ST,96,13,0,8,11,201,99
