actual/predicted,CH,FC,FF,KC,SI,SL
CH,76,2,274,44,0,3
FC,0,0,2,0,0,0
FF,69,1,876,89,0,7
KC,39,2,436,91,0,3
SI,3,1,53,21,0,1
SL,14,0,225,30,0,6
