actual/predicted,CH,CU,FC,FF,SI,ST
CH,116,11,0,222,2,89
CU,47,8,0,93,1,40
FC,0,0,0,0,0,0
FF,193,15,0,467,16,167
SI,16,2,0,86,10,37
ST,87,19,0,183,6,119
