actual/predicted,CH,CU,FC,FF,FS,KC,SI,SL
CH,0,0,0,0,0,0,0,0
CU,0,35,6,26,24,0,0,59
FC,0,0,0,0,0,0,0,0
FF,0,35,21,373,58,0,1,281
FS,0,25,5,34,182,0,0,157
KC,0,0,0,0,0,0,0,0
SI,0,0,2,8,1,0,0,8
SL,0,14,11,244,64,0,0,399
