actual/predicted,CH,CS,CU,FF,SI,SL,ST
CH,99,24,11,8,9,3,8
CS,2,1,2,1,1,0,0
CU,92,42,72,35,85,30,51
FF,148,63,85,53,145,69,63
SI,81,34,54,38,158,81,60
SL,106,46,69,39,136,106,60
ST,1,2,0,1,0,2,30
