actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,45,73,23,83,19,1,4
CU,44,129,35,123,39,2,12
FC,61,140,64,255,47,4,6
FF,34,57,24,95,24,3,4
SI,26,58,23,123,86,12,13
SL,3,6,2,15,4,1,0
ST,24,56,9,89,42,8,5
