actual/predicted,CH,CU,FC,FF,SI,SL
CH,67,67,0,122,0,34
CU,30,78,0,225,0,83
FC,0,0,0,0,0,0
FF,77,119,0,498,0,140
SI,1,3,0,16,0,11
SL,37,120,0,470,0,261
