actual/predicted,CH,CU,FC,FF,SI,SL
CH,29,0,0,230,0,31
CU,10,7,0,307,0,92
FC,0,0,0,0,0,0
FF,35,2,0,686,0,111
SI,2,0,0,18,0,11
SL,15,7,0,577,1,288
