actual/predicted,CH,CU,FC,FF,SI,SL
CH,125,99,32,78,47,80
CU,46,59,22,29,34,27
FC,76,53,55,46,67,83
FF,94,96,53,113,99,77
SI,35,39,25,25,87,70
SL,1,0,6,2,15,75
