actual/predicted,CH,CU,FC,FF,FS,SI,SL,ST
CH,0,8,19,1,59,7,6,2
CU,0,33,71,3,114,83,13,29
FC,1,35,68,8,125,79,10,29
FF,1,19,37,11,99,48,4,9
FS,0,5,7,0,17,5,1,3
SI,3,57,114,11,233,392,38,70
SL,0,9,2,1,17,28,3,7
ST,0,11,10,0,24,38,5,27
