actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,18,82,33,80,5,0,3
CU,4,99,56,93,1,0,10
FC,1,28,122,73,24,0,41
FF,11,131,207,310,33,0,61
SI,0,21,45,30,19,0,30
SL,0,0,0,0,0,0,0
ST,0,15,71,40,28,0,154
