actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,13,43,63,100,1,0,1
CU,3,64,87,104,2,0,3
FC,1,17,110,54,43,0,64
FF,6,93,208,289,55,0,102
SI,0,12,30,16,32,0,55
SL,0,0,0,0,0,0,0
ST,0,2,49,21,31,0,205
