actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,67,22,43,40,10,54,28
CU,48,57,65,60,20,100,52
FC,12,11,146,11,11,0,25
FF,78,64,35,142,35,119,38
SI,24,10,68,34,60,61,58
SL,20,9,4,28,12,79,10
ST,6,2,41,6,13,4,44
