actual/predicted,CH,CU,FC,FF,SI,SL
CH,168,25,61,46,3,47
CU,30,7,10,1,1,2
FC,0,0,1,1,0,3
FF,326,98,174,118,59,123
SI,23,15,43,26,36,83
SL,214,47,80,80,34,156
