actual/predicted,CH,CS,CU,FF,SI,SL,ST
CH,7,0,28,85,48,69,0
CS,0,0,0,1,2,3,0
CU,7,0,33,126,91,117,4
FF,9,0,41,207,162,163,2
SI,3,0,27,101,107,115,2
SL,9,0,25,162,118,146,1
ST,0,0,4,15,16,21,2
