actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,55,21,21,6,1,1,14
CU,66,28,63,52,12,62,71
FC,36,22,114,22,11,9,17
FF,84,45,108,89,31,75,59
SI,26,10,106,28,47,77,82
SL,2,0,7,1,1,32,3
ST,20,16,29,13,39,30,212
