actual/predicted,CH,FF,KC,SI,SL,ST
CH,0,4,0,0,0,0
FF,0,611,6,21,445,0
KC,0,139,0,6,68,0
SI,0,45,0,10,44,0
SL,0,406,5,21,572,0
ST,0,47,1,6,45,0
