actual/predicted,CH,CU,FC,FF,FS,KC,SI,SL
CH,0,0,0,0,0,0,0,0
CU,0,87,39,0,21,0,1,2
FC,0,0,0,0,0,0,0,0
FF,0,224,321,82,62,0,49,31
FS,0,131,69,0,198,0,0,5
KC,0,0,0,0,0,0,0,0
SI,0,5,11,0,2,0,0,1
SL,0,227,325,29,69,0,31,51
