actual/predicted,CH,CU,FC,SI,SL,ST
CH,4,11,177,3,5,0
CU,8,25,358,4,4,0
FC,11,34,950,10,10,0
SI,0,9,170,9,3,0
SL,2,4,139,5,12,0
ST,0,4,47,0,0,0
