actual/predicted,CH,FC,FF,FS,KC,SI,SL
CH,0,0,3,22,2,3,11
FC,0,0,0,0,0,0,0
FF,0,0,85,213,43,111,129
FS,0,0,3,17,4,7,21
KC,0,0,33,107,26,16,50
SI,0,0,84,138,27,182,106
SL,0,0,72,228,25,123,123
