actual/predicted,CH,CU,FC,FF,FS,SI,SL,ST
CH,6,17,24,3,1,51,0,0
CU,5,33,80,3,1,204,0,20
FC,3,30,118,7,3,177,0,17
FF,2,25,64,8,0,126,0,3
FS,0,2,12,2,2,18,0,2
SI,2,34,93,10,0,756,0,23
SL,0,4,9,3,0,45,0,6
ST,0,3,9,2,0,87,0,14
