actual/predicted,CH,FF,KC,SI,SL,ST
CH,0,4,0,0,0,0
FF,29,534,36,3,459,22
KC,11,102,20,1,74,5
SI,3,37,3,4,46,6
SL,29,428,31,5,498,13
ST,4,38,1,1,51,4
