actual/predicted,CH,CU,FC,FF,SI,SL
CH,176,88,72,10,64,144
CU,43,55,26,5,7,38
FC,109,68,63,7,31,144
FF,110,55,72,17,43,120
SI,55,25,29,8,30,108
SL,10,3,15,1,17,79
