actual/predicted,CH,CU,FC,FF,SI,SL
CH,93,105,0,54,1,37
CU,41,181,0,91,11,92
FC,0,0,0,0,0,0
FF,130,343,0,183,31,147
SI,4,11,0,4,3,9
SL,56,355,0,202,31,244
