actual/predicted,CH,CU,FC,SI,SL,ST
CH,23,25,134,5,6,7
CU,39,79,176,76,19,10
FC,77,223,401,243,40,31
SI,0,1,46,97,35,12
SL,2,1,47,67,25,20
ST,0,0,6,18,26,1
