actual/predicted,CH,CU,FC,FF,FS,SI,SL,ST
CH,0,0,1,0,90,8,0,3
CU,0,1,2,0,238,63,1,41
FC,0,0,2,0,259,24,0,70
FF,0,1,0,0,189,20,0,18
FS,0,0,0,0,35,0,0,3
SI,0,3,5,0,452,343,4,111
SL,0,0,0,0,30,24,1,12
ST,0,2,0,0,29,36,0,48
