actual/predicted,CH,CU,FC,FF,SI,SL
CH,66,52,57,21,22,23
CU,39,77,45,71,18,58
FC,0,0,20,0,0,0
FF,111,213,255,179,51,123
SI,0,2,0,1,4,2
SL,62,188,155,70,37,112
