actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,83,95,26,15,0,0,2
CU,56,130,43,26,2,0,6
FC,22,37,43,12,91,0,84
FF,96,183,96,142,118,0,118
SI,0,19,6,6,39,0,75
SL,0,0,0,0,0,0,0
ST,1,14,12,2,48,0,231
