actual/predicted,CU,FC,FF,FS,KC,SI,SL,ST
CU,42,1,499,0,0,0,1,12
FC,8,9,170,0,1,0,0,19
FF,32,14,1025,0,1,0,4,60
FS,0,0,5,0,0,0,0,0
KC,0,0,0,0,0,0,0,0
SI,1,4,39,0,0,0,0,10
SL,0,0,13,0,0,0,0,1
ST,8,15,371,0,1,0,3,54
