actual/predicted,CH,CU,FC,FF,SI,SL,ST
CH,4,40,28,70,12,0,13
CU,11,55,41,158,52,0,51
FC,2,26,58,76,46,0,42
FF,12,62,69,193,63,0,53
SI,2,24,45,66,88,0,83
SL,0,1,14,7,8,0,8
ST,7,31,27,58,89,0,138
