actual/predicted,CH,CU,FC,FF,SI,SL
CH,424,0,37,245,2,0
CU,1,0,5,0,0,0
FC,160,0,128,123,10,2
FF,279,0,96,402,2,1
SI,3,0,43,20,15,2
SL,7,0,37,20,4,4
