actual/predicted,CH,FC,FF,KC,SI,SL
CH,158,79,21,44,9,34
FC,20,103,18,26,0,3
FF,239,289,173,146,60,212
KC,140,127,55,106,41,93
SI,2,0,0,0,11,4
SL,10,3,17,17,30,75
