actual/predicted,CH,CS,CU,FF,SI,SL,ST
CH,137,33,7,8,15,23,14
CS,2,1,0,1,0,1,1
CU,127,36,17,30,26,60,82
FF,208,75,16,45,71,69,100
SI,43,27,6,38,54,90,97
SL,129,50,10,29,42,97,104
ST,5,3,1,7,6,10,26
