actual/predicted,CH,CU,FC,FF,SI,SL
CH,170,25,85,14,0,260
CU,46,9,61,4,1,53
FC,117,7,69,12,0,217
FF,96,14,82,12,0,213
SI,51,2,21,5,0,176
SL,1,0,0,0,0,124
